id,key,store,user_id,source,off_id,bls_code,matched_name,nova,nutrition,updated_at
01bc2d5d-9892-404f-b31f-b5dd10b32a1f,bio bb sb sb-hackfl.400g,Netto Marken-Discount,a9f276ec-7626-417f-bc35-1e1f13edddb8,bls,,U050100,"Rind/Schwein, Hackfleisch gemischt, roh",,"{""fat_g"":17.83,""micros"":{""iron_mg"":1.53,""zinc_mg"":3.576,""folate_ug"":2,""iodine_ug"":3.205,""sodium_mg"":57,""calcium_mg"":20.2,""magnesium_mg"":18.5,""potassium_mg"":303,""vitamin_c_mg"":0,""vitamin_d_ug"":0.56,""vitamin_b12_ug"":3.3},""carbs_g"":0,""fiber_g"":0,""sugar_g"":0,""protein_g"":18.8,""calories_kcal"":236,""processed_score"":null,""saturated_fat_g"":7.392}",2026-07-13 18:06:54+00
03bcc433-2083-41b9-a2ee-4156b5819b3a,clarkys walnusskerne,Netto Marken-Discount,a9f276ec-7626-417f-bc35-1e1f13edddb8,bls,,H120100,Walnuss,,"{""fat_g"":70.6,""micros"":{""iron_mg"":2.78,""zinc_mg"":2.64,""folate_ug"":72.8,""iodine_ug"":3,""calcium_mg"":87.3,""magnesium_mg"":140,""potassium_mg"":444,""vitamin_d_ug"":0},""carbs_g"":3,""fiber_g"":4.6,""sugar_g"":2.68,""protein_g"":16.07,""calories_kcal"":721,""processed_score"":null,""saturated_fat_g"":6.516}",2026-07-14 17:59:41+00
03e92940-663a-4fa0-aacc-4fc3c38ec814,dinkelschnitte,LIDL,a9f276ec-7626-417f-bc35-1e1f13edddb8,bls,,B710500,Dinkelbrot,,"{""fat_g"":2.39,""micros"":{""iron_mg"":2.124,""zinc_mg"":2,""folate_ug"":21,""iodine_ug"":1,""sodium_mg"":474,""calcium_mg"":35.9,""magnesium_mg"":65.8,""potassium_mg"":158,""vitamin_c_mg"":0,""vitamin_d_ug"":0,""vitamin_b12_ug"":0},""carbs_g"":38,""fiber_g"":6.76,""sugar_g"":0.684,""protein_g"":8.4,""calories_kcal"":221,""processed_score"":null,""saturated_fat_g"":0.55}",2026-06-30 19:45:15+00
04c3b2d9-26ea-4e2b-870b-0e71fa7a664b,radieschen,ALDI,a9f276ec-7626-417f-bc35-1e1f13edddb8,bls,,G691100,Radieschen roh,,"{""fat_g"":0.14,""micros"":{""iron_mg"":0.441,""zinc_mg"":0.12,""folate_ug"":24,""iodine_ug"":1.241,""sodium_mg"":22,""calcium_mg"":25,""magnesium_mg"":9.4,""potassium_mg"":239,""vitamin_c_mg"":29,""vitamin_d_ug"":0,""vitamin_b12_ug"":0},""carbs_g"":2.31,""fiber_g"":1.5,""sugar_g"":2.133,""protein_g"":1.05,""calories_kcal"":18,""processed_score"":null,""saturated_fat_g"":0.033}",2026-07-19 17:03:57+00
0546c61e-00b0-4047-8ca1-f79dab3525cc,kartoffeln süß,LIDL,a9f276ec-7626-417f-bc35-1e1f13edddb8,bls,,K420100,"Batate/Süßkartoffel, roh",,"{""fat_g"":0.6,""micros"":{""iron_mg"":0.664,""zinc_mg"":0.23,""folate_ug"":50,""iodine_ug"":2.4,""sodium_mg"":4,""calcium_mg"":22.429,""magnesium_mg"":18.3,""potassium_mg"":360,""vitamin_c_mg"":30,""vitamin_d_ug"":0,""vitamin_b12_ug"":0},""carbs_g"":25.2,""fiber_g"":3.14,""sugar_g"":5.5,""protein_g"":1.63,""calories_kcal"":119,""processed_score"":null,""saturated_fat_g"":0}",2025-12-10 20:21:39+00
0adc2434-d0c7-4395-a2bb-fe3964b14f63,bio limetten,LIDL,a9f276ec-7626-417f-bc35-1e1f13edddb8,bls,,F602100,Limette roh,,"{""fat_g"":0.2,""micros"":{""iron_mg"":0.138,""zinc_mg"":0.0777,""folate_ug"":6.3,""iodine_ug"":1.6,""sodium_mg"":2.2,""calcium_mg"":13,""magnesium_mg"":6.7,""potassium_mg"":135,""vitamin_c_mg"":43.5,""vitamin_d_ug"":0,""vitamin_b12_ug"":0},""carbs_g"":1.9,""fiber_g"":1.29,""sugar_g"":1.9,""protein_g"":0.5,""calories_kcal"":28,""processed_score"":null,""saturated_fat_g"":0}",2026-07-15 17:35:05+00
0b1a0c9c-3a88-4dd3-b1d3-a711cb28bea7,gebäckstangen,ALDI,a9f276ec-7626-417f-bc35-1e1f13edddb8,bls,,X9A3050,Grissini,,"{""fat_g"":13,""micros"":{""iron_mg"":1.435,""zinc_mg"":1.7,""folate_ug"":18,""iodine_ug"":4,""sodium_mg"":230,""calcium_mg"":264,""magnesium_mg"":74,""potassium_mg"":258,""vitamin_c_mg"":0,""vitamin_d_ug"":0,""vitamin_b12_ug"":0},""carbs_g"":44,""fiber_g"":7.05,""sugar_g"":1.11,""protein_g"":11.63,""calories_kcal"":354,""processed_score"":null,""saturated_fat_g"":1.4}",2026-07-19 17:03:57+00
0c178de7-fbf6-4285-ac19-7870a8921705,tony's great.bits,E center Cramer (EDEKA),a9f276ec-7626-417f-bc35-1e1f13edddb8,bls,,S500000,Schokolade,,"{""fat_g"":28.36,""micros"":{""iron_mg"":10.5528,""zinc_mg"":1.6993,""folate_ug"":12.5,""iodine_ug"":3,""sodium_mg"":8.7,""calcium_mg"":42.6,""magnesium_mg"":120.2,""potassium_mg"":437,""vitamin_d_ug"":2.82,""vitamin_b12_ug"":0.53},""carbs_g"":57.5,""fiber_g"":6.57,""sugar_g"":55.354,""protein_g"":5.49,""calories_kcal"":520,""processed_score"":null,""saturated_fat_g"":16.87}",2026-07-19 16:56:44+00
0cf52490-e204-4ac3-8e81-f1f385567f0f,kartoffeln,Kaufland,a9f276ec-7626-417f-bc35-1e1f13edddb8,bls,,K120100,"Kartoffel ungeschält, roh",,"{""fat_g"":0.1,""micros"":{""iron_mg"":0.55,""zinc_mg"":0.2,""folate_ug"":14,""iodine_ug"":3.4,""sodium_mg"":10,""calcium_mg"":4,""magnesium_mg"":18,""potassium_mg"":463,""vitamin_c_mg"":18.76,""vitamin_d_ug"":0,""vitamin_b12_ug"":0},""carbs_g"":18.46,""fiber_g"":1.42,""sugar_g"":1.46,""protein_g"":2.05,""calories_kcal"":86,""processed_score"":null,""saturated_fat_g"":0.034}",2026-07-09 19:09:51+00
0ee9905e-31a9-462b-b033-00a3c4f872c6,speisequark,LIDL,a9f276ec-7626-417f-bc35-1e1f13edddb8,bls,,M713100,"Speisequark Magerstufe, Magerquark < 10 % Fett i. Tr.",,"{""fat_g"":0.18,""micros"":{""iron_mg"":0.035,""zinc_mg"":0.56,""folate_ug"":21.9,""iodine_ug"":17,""sodium_mg"":33.6,""calcium_mg"":132,""magnesium_mg"":11.6,""potassium_mg"":151,""vitamin_c_mg"":4.205,""vitamin_d_ug"":0,""vitamin_b12_ug"":0.61},""carbs_g"":3.68,""fiber_g"":0,""sugar_g"":3.68,""protein_g"":11.85,""calories_kcal"":66,""processed_score"":null,""saturated_fat_g"":0.114}",2025-12-10 20:21:39+00
114d2347-1758-4140-aea5-5f23efc3059f,huizer gouda,E center Cramer (EDEKA),a9f276ec-7626-417f-bc35-1e1f13edddb8,bls,,M402600,Gouda 48 % Fett i. Tr.,,"{""fat_g"":31.58,""micros"":{""iron_mg"":0.196,""zinc_mg"":3.59,""folate_ug"":43.6,""iodine_ug"":11.8,""sodium_mg"":868,""calcium_mg"":862.7,""magnesium_mg"":31.1,""potassium_mg"":100.1,""vitamin_c_mg"":1.06,""vitamin_d_ug"":0.35,""vitamin_b12_ug"":1.78},""carbs_g"":0,""fiber_g"":0,""sugar_g"":0,""protein_g"":22.47,""calories_kcal"":379,""processed_score"":null,""saturated_fat_g"":22.53}",2026-07-09 17:55:25+00
121dfee5-aba6-4f89-8e2c-f830e1b5ff23,vand.mai gouda,E center Cramer (EDEKA),a9f276ec-7626-417f-bc35-1e1f13edddb8,bls,,M402600,Gouda 48 % Fett i. Tr.,,"{""fat_g"":31.58,""micros"":{""iron_mg"":0.196,""zinc_mg"":3.59,""folate_ug"":43.6,""iodine_ug"":11.8,""sodium_mg"":868,""calcium_mg"":862.7,""magnesium_mg"":31.1,""potassium_mg"":100.1,""vitamin_c_mg"":1.06,""vitamin_d_ug"":0.35,""vitamin_b12_ug"":1.78},""carbs_g"":0,""fiber_g"":0,""sugar_g"":0,""protein_g"":22.47,""calories_kcal"":379,""processed_score"":null,""saturated_fat_g"":22.53}",2026-07-19 18:38:02+00
1706c5b6-7f62-4a13-b68d-3a34388847e7,auberginen a,Lidl,a9f276ec-7626-417f-bc35-1e1f13edddb8,bls,,G510100,Aubergine roh,,"{""fat_g"":0.18,""micros"":{""iron_mg"":0.2,""zinc_mg"":0.11,""folate_ug"":41,""iodine_ug"":0.8,""sodium_mg"":4,""calcium_mg"":8,""magnesium_mg"":12.5,""potassium_mg"":175,""vitamin_c_mg"":4.09,""vitamin_d_ug"":0,""vitamin_b12_ug"":0},""carbs_g"":3.02,""fiber_g"":1.4,""sugar_g"":2.69,""protein_g"":0.57,""calories_kcal"":19,""processed_score"":null,""saturated_fat_g"":0.039}",2026-07-20 14:16:58.846998+00
182ccdb8-6c85-475f-b319-cc2d775fece4,avocado vorger,LIDL,a9f276ec-7626-417f-bc35-1e1f13edddb8,bls,,F502100,Avocado roh,,"{""fat_g"":12.5,""micros"":{""iron_mg"":0.44,""zinc_mg"":0.644,""folate_ug"":20.2,""iodine_ug"":3,""sodium_mg"":5,""calcium_mg"":14,""magnesium_mg"":24.6,""potassium_mg"":550,""vitamin_c_mg"":13,""vitamin_d_ug"":0},""carbs_g"":1.37,""fiber_g"":4.1,""sugar_g"":1.37,""protein_g"":1.37,""calories_kcal"":132,""processed_score"":null,""saturated_fat_g"":2.589}",2025-12-10 20:21:39+00
18cc9e11-0581-4f06-89ba-f3e93bbc1179,brühen im,ALDI,a9f276ec-7626-417f-bc35-1e1f13edddb8,bls,,R810000,"Bouillon/Brühe/Suppe (Brühwürfel, Pulver)",,"{""fat_g"":5.8,""micros"":{""iron_mg"":1.692,""zinc_mg"":0.64,""folate_ug"":26,""iodine_ug"":362.8,""sodium_mg"":20692.5,""calcium_mg"":63.9,""magnesium_mg"":29,""potassium_mg"":1005,""vitamin_c_mg"":7.9,""vitamin_d_ug"":0,""vitamin_b12_ug"":0.16},""carbs_g"":27.91,""fiber_g"":2.9,""sugar_g"":0.4,""protein_g"":5.82,""calories_kcal"":195,""processed_score"":null,""saturated_fat_g"":2.68}",2026-07-19 18:10:10+00
1a0acc66-4e64-4189-86d6-e5ffa0e7043a,bio naturland speisem,Netto Marken-Discount,a9f276ec-7626-417f-bc35-1e1f13edddb8,bls,,G620100,"Karotte/Möhre, roh",,"{""fat_g"":0.4,""micros"":{""iron_mg"":0.3553,""zinc_mg"":0.25581,""folate_ug"":22,""iodine_ug"":3.1,""sodium_mg"":22.7,""calcium_mg"":21.1,""magnesium_mg"":12,""potassium_mg"":355.1,""vitamin_c_mg"":3.22,""vitamin_d_ug"":0,""vitamin_b12_ug"":0},""carbs_g"":6.471,""fiber_g"":2.9,""sugar_g"":6.37,""protein_g"":0.84,""calories_kcal"":40,""processed_score"":null,""saturated_fat_g"":0.093}",2026-07-13 18:06:54+00
1a81d3f7-0d1f-4466-bf51-4f3a8cc2ccbe,weihenstephan butter,Netto Marken-Discount,a9f276ec-7626-417f-bc35-1e1f13edddb8,bls,,Q611000,Butter mild gesäuert,,"{""fat_g"":82.2,""micros"":{""iron_mg"":0.166,""zinc_mg"":0.042,""folate_ug"":0,""iodine_ug"":23,""sodium_mg"":11,""calcium_mg"":19,""magnesium_mg"":2.2,""potassium_mg"":9,""vitamin_c_mg"":0.2,""vitamin_d_ug"":0.257,""vitamin_b12_ug"":0.3},""carbs_g"":0.571,""fiber_g"":0,""sugar_g"":0.571,""protein_g"":1.188,""calories_kcal"":747,""processed_score"":null,""saturated_fat_g"":52.656}",2026-07-09 18:02:38+00
1b4ed149-3447-45a2-be08-677d1fd002ea,bio paprika rot,LIDL,a9f276ec-7626-417f-bc35-1e1f13edddb8,bls,,G543100,"Gemüsepaprika rot, roh",,"{""fat_g"":0.2,""micros"":{""iron_mg"":0.377,""zinc_mg"":0.187,""folate_ug"":54,""iodine_ug"":3,""sodium_mg"":1.25,""calcium_mg"":8,""magnesium_mg"":14.12,""potassium_mg"":211,""vitamin_c_mg"":159.81,""vitamin_d_ug"":0,""vitamin_b12_ug"":0},""carbs_g"":6.19,""fiber_g"":2.2,""sugar_g"":6.19,""protein_g"":1.025,""calories_kcal"":36,""processed_score"":null,""saturated_fat_g"":0.0323}",2025-12-10 20:21:39+00
1c857699-7773-47ca-a8e5-b34e21cb9e10,cocktailrispe,PENNY,a9f276ec-7626-417f-bc35-1e1f13edddb8,bls,,G561100,Tomate roh,,"{""fat_g"":0.11,""micros"":{""iron_mg"":0.2,""zinc_mg"":0.14,""folate_ug"":26,""iodine_ug"":2,""sodium_mg"":4,""calcium_mg"":10,""magnesium_mg"":12,""potassium_mg"":239,""vitamin_c_mg"":24.76,""vitamin_d_ug"":0,""vitamin_b12_ug"":0},""carbs_g"":3.25,""fiber_g"":1.3,""sugar_g"":3.25,""protein_g"":0.95,""calories_kcal"":22,""processed_score"":null,""saturated_fat_g"":0.0216}",2026-07-19 19:17:23+00
1db364a1-f8a1-4dcc-b771-2c8ef63fb174,auberginen,LIDL,a9f276ec-7626-417f-bc35-1e1f13edddb8,bls,,G510100,Aubergine roh,,"{""fat_g"":0.18,""micros"":{""iron_mg"":0.2,""zinc_mg"":0.11,""folate_ug"":41,""iodine_ug"":0.8,""sodium_mg"":4,""calcium_mg"":8,""magnesium_mg"":12.5,""potassium_mg"":175,""vitamin_c_mg"":4.09,""vitamin_d_ug"":0,""vitamin_b12_ug"":0},""carbs_g"":3.02,""fiber_g"":1.4,""sugar_g"":2.69,""protein_g"":0.57,""calories_kcal"":19,""processed_score"":null,""saturated_fat_g"":0.039}",2025-12-10 20:21:39+00
21c8ee6c-5f77-4264-be97-3005f3cf7f69,bio cashewkerne,LIDL,a9f276ec-7626-417f-bc35-1e1f13edddb8,bls,,H170100,Cashewkern,,"{""fat_g"":47.1,""micros"":{""iron_mg"":6.41,""zinc_mg"":5.15,""folate_ug"":67.7,""iodine_ug"":5,""sodium_mg"":10,""calcium_mg"":38,""magnesium_mg"":258,""potassium_mg"":689,""vitamin_d_ug"":0},""carbs_g"":26,""fiber_g"":3,""sugar_g"":6.15,""protein_g"":21.01,""calories_kcal"":618,""processed_score"":null,""saturated_fat_g"":9.262}",2026-06-30 19:45:15+00
24bb23b0-0730-478d-b2f6-e5ec59b2338f,plattpfirsiche,PENNY,a9f276ec-7626-417f-bc35-1e1f13edddb8,bls,,F203100,Pfirsich roh,,"{""fat_g"":0.11,""micros"":{""iron_mg"":0.276,""zinc_mg"":0.13,""folate_ug"":8,""sodium_mg"":0.687,""calcium_mg"":6,""magnesium_mg"":9,""potassium_mg"":198,""vitamin_c_mg"":10,""vitamin_d_ug"":0,""vitamin_b12_ug"":0},""carbs_g"":8.02,""fiber_g"":1.7,""sugar_g"":6.99,""protein_g"":0.7,""calories_kcal"":39,""processed_score"":null,""saturated_fat_g"":0.01}",2026-07-19 19:17:23+00
2541b7ea-f150-426b-a1e0-9ffdb39c4d59,feldsalat,ALDI,a9f276ec-7626-417f-bc35-1e1f13edddb8,bls,,G104100,"Feldsalat/Rapunzel, roh",,"{""fat_g"":0.36,""micros"":{""iron_mg"":1.84,""zinc_mg"":0.32,""folate_ug"":108,""sodium_mg"":10.06,""calcium_mg"":59.2,""magnesium_mg"":39.5,""potassium_mg"":441,""vitamin_c_mg"":35,""vitamin_d_ug"":0,""vitamin_b12_ug"":0},""carbs_g"":0.808,""fiber_g"":1.8,""sugar_g"":0.8,""protein_g"":1.9,""calories_kcal"":18,""processed_score"":null,""saturated_fat_g"":0.017}",2026-07-19 17:03:57+00
254992ae-6762-489f-9b20-0969a9c606a0,griech joghurt a,Lidl,a9f276ec-7626-417f-bc35-1e1f13edddb8,bls,,M141200,"Joghurt fettarm, mind. 1,5 % bis max. 1,8 % Fett",,"{""fat_g"":1.6,""micros"":{""iron_mg"":0.044,""zinc_mg"":0.36,""folate_ug"":6,""iodine_ug"":3.6,""sodium_mg"":57,""calcium_mg"":114,""magnesium_mg"":11,""potassium_mg"":149,""vitamin_c_mg"":1.6,""vitamin_d_ug"":0.028,""vitamin_b12_ug"":0.4},""carbs_g"":6.046,""fiber_g"":0,""sugar_g"":5.773,""protein_g"":5.035,""calories_kcal"":62,""processed_score"":null,""saturated_fat_g"":0.92}",2026-07-20 14:26:22.532664+00
